Abendessen	das,jantar
Apfel	der,maçã
Bett	das,cama
Betten	die,camas
Beziehung	die,relação
Beziehungen	die,relações
Biene	die,abelha
Bienen	die,abelhas
Brot	das,pão
Brote	die,pães
Buch	das,livro
Bär	der,urso
Bären	die,ursos
Bücher	die,livros
Durst	der,sede
Ei	das,ovo
Eier	die,ovos
Eltern	die,pais
Ente	die,pato
Enten	die,patos
Entschuldigung	die,desculpa
Entschuldigungen	die,desculpas
Erdbeere	die,morango
Erdbeeren	die,morangos
Essen	das,comer
Familie	die,familia
Familien	die,familias
Fenster	die,janela
Fisch	der,peixe
Fische	die,peixes
Fleisch	das,carne
Fliege	die,mosca
Fliegen	die,moscas
Frau	die,mulher
Frauen	die,mulheres
Frühstück	das,pequeno alomoço
Gemüse	das,legumes
Geschwister	die,siblinds
Getränk	das,bebida
Getränke	die,bebidas
Großeltern	die,avós
Großmutter	die,avó
Großmütter	die,avós
Großvater	der,avôs
Großväter	die,avô
Haustier	das,animal de estimação
Haustiere	die,animais de estimação
Hemd	das,camisa
Hemden	die,camisas
Hosen	die,calças
Hund	der,cão
Hunde	die,cães
Hunger	der,fome
Insekt	das,insecto
Insekten	die,insectos
Jacke	die,casaco
Jacken	die,casacos
Junge	der,rapaz
Jungen	die,rapazes
Kaffee	der,café
Kartoffel	die,batata
Kartoffeln	die,batatas
Katze	die,gato
Katzen	die,gatos
Kind	das,criança
Kinder	die,crianças
Kleid	das,claro
Kleider	die,claros
Kleidung	das,roupa
Kleidungen	die,roupas
Knopf	der,butão
Knöpfe	die,butões
Kosmetik	die,cosmética
Kuh	die,vaca
Käse	der,queijo
Kühe	die,vacas
Lampe	die,lampada
Lampen	die,lampadas
Licht	das,luz
Lichter	die,luzes
Mann	der,homem
Mantel	der,sobretudo
Maus	die,rato
Menschen	die,pessoas
Menü	das,Menü
Milch	die,Leite
Mittagessen	das,almoço
Mutter	die,mãe
Mädchen	das,raparigas
Männer	die,homens
Mäntel	die,sobretudos
Mäuse	die,ratos
Mütter	die,mães
Nudeln	die,massa
Obst	das,fruta
Orange	die,laranja
Orangen	die,laranjas
Orangensaft	der,sumo de laranja
Partner	der,parceiro
Pferd	das,cavalo
Pferde	die,cavalos
Reis	der,arroz
Rezept	das,recibo
Rezepte	die,recibos
Rock	der,saia
Röcke	die,saias
Saft	der,sumo
Salz	das,sal
Schlüssel	der,chave
Schmuck	der,joias
Schokolade	die,chocolate
Schuh	der,sapato
Schuhe	die,sapatos
Schwester	die,irmã
Schwestern	die,irmãs
Sofa	das,sofas
Sofas	die,sofas
Sohn	der,filho
Stuhl	der,cadeira
Suppe	die,sopa
Suppen	die,sopas
Säfte	die,sumos
Söhne	die,filhos
Tasch	die,mala
Taschen	die,malas
Tee	der,chá
Tier	das,animal
Tiere	die,animais
Tisch	der,mesa
Tische	die,mesas
Tochter	die,filhas
Tomate	die,tomate
Tomaten	die,tomates
Treppe	die,escada
Töchterchen	die,pequena filha
Tür	die,porta
Türen	die,portas
Vater	der,pai
Vegetarier	der,vegetariano
Vogel	der,pássaro
Väter	die,father
Vögel	die,pássaros
Wasser	die,water
Wohnung	die,resdência
Wohnungen	die,residências
Zeitung	die,jornal
Zeitungen	die,jornais
Zitrone	die,limão
Zitronen	die,limões
Zucker	der,açucar
Äpfel	die,maçãs
